"","score_rank","average_forever","price","Strategy","Multiplayer","Action","RPG","Simulation","Adventure","Singleplayer","Indie","Casual","Atmospheric","Great Soundtrack","Puzzle","2D"
"1",73,"[931,41947]",0,1,1,1,1,1,0,0,0,0,0,0,0,0
"2",90,"[931,41947]",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"3",84,"[931,41947]",0,0,1,1,0,0,1,1,1,1,1,0,0,0
"4",80,"[931,41947]",1499,1,1,1,0,0,0,0,0,0,0,0,0,0
"5",98,"[931,41947]",1999,0,1,1,0,0,1,1,0,0,0,0,0,0
"6",93,"[931,41947]",1999,1,1,1,0,1,0,1,0,0,1,0,0,0
"7",80,"[931,41947]",0,0,1,1,1,0,0,1,0,0,0,0,0,0
"8",56,"[ 22,   67)",0,0,1,1,0,0,1,1,0,0,1,0,0,0
"9",73,"[475,  931)",499,0,1,1,0,0,0,0,0,0,0,0,0,0
"10",26,"[475,  931)",0,1,1,1,0,1,1,1,1,0,1,0,0,0
"11",98,"[931,41947]",999,1,1,1,0,0,0,0,0,0,0,0,0,0
"12",93,"[931,41947]",999,0,1,1,0,1,1,1,1,0,0,0,0,0
"13",35,"[931,41947]",0,1,1,1,1,1,1,0,1,0,0,0,0,0
"14",90,"[931,41947]",1999,0,0,1,1,0,1,1,0,0,1,1,0,0
"15",56,"[931,41947]",0,1,1,1,0,1,0,0,0,0,0,0,0,0
"16",77,"[931,41947]",999,1,1,1,0,0,1,1,0,0,0,0,0,0
"17",77,"[165,  203)",999,1,1,1,0,0,1,1,0,0,0,0,0,0
"18",98,"[475,  931)",999,0,1,1,0,0,1,1,0,0,1,1,1,0
"19",99,"[246,  317)",999,1,0,1,0,0,1,1,0,0,1,1,1,0
"20",95,"[931,41947]",2999,1,1,0,0,1,0,1,0,0,0,1,0,0
"21",99,"[931,41947]",1999,1,1,1,0,0,1,1,0,0,1,0,1,0
"22",98,"[931,41947]",999,0,1,1,1,0,1,1,1,0,1,0,0,1
"23",67,"[475,  931)",0,1,1,1,0,0,1,0,0,0,0,0,0,0
"24",50,"[931,41947]",1999,1,1,1,0,1,1,1,0,0,0,1,0,0
"25",77,"[475,  931)",499,0,1,1,0,0,0,0,0,0,0,0,0,0
"26",59,"[123,  165)",499,0,1,1,0,0,0,0,0,0,0,0,0,0
"27",52,"[ 22,   67)",499,0,1,1,0,0,0,0,0,0,0,0,0,0
"28",45,"[931,41947]",0,0,1,1,1,0,1,0,0,1,0,0,0,0
"29",59,"[931,41947]",0,1,1,1,1,0,1,0,0,0,0,0,0,0
"30",77,"[317,  475)",0,0,1,1,0,0,1,0,1,0,1,0,0,0
"31",95,"[931,41947]",1999,0,1,1,1,0,1,1,0,0,1,0,0,0
"32",23,"[475,  931)",0,0,1,1,0,0,0,1,1,0,0,0,0,0
"33",35,"[ 67,  123)",999,0,1,1,0,0,0,0,0,0,0,0,0,0
"34",34,"[475,  931)",0,1,1,1,0,1,1,0,0,0,0,1,0,0
"35",87,"[931,41947]",0,0,1,1,1,0,1,0,1,0,0,0,0,0
"36",52,"[931,41947]",5999,0,1,1,1,0,1,1,0,0,1,1,0,0
"37",77,"[931,41947]",999,1,1,1,0,1,0,0,0,0,0,0,0,0
"38",93,"[246,  317)",799,0,0,1,0,0,1,1,0,0,1,1,1,0
"39",16,"[203,  246)",0,1,1,1,1,0,1,1,1,0,0,0,0,0
