@relation R_data_frame

@attribute score_rank numeric
@attribute average_forever numeric
@attribute price numeric
@attribute Strategy numeric
@attribute Multiplayer numeric
@attribute Action numeric
@attribute COOP numeric
@attribute Early_Access numeric
@attribute Open_World numeric
@attribute Adventure numeric
@attribute Indie numeric
@attribute Casual numeric
@attribute Horror numeric
@attribute Puzzle numeric
@attribute Platformer numeric
@attribute Two_Dimensional numeric
@attribute Pixel_Graphics numeric
@attribute Point_And_Click numeric
@attribute VR numeric

@data
73,12241,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
90,4487,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
84,1140,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
80,17372,1499,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,2388,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
93,8342,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4202,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
56,54,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
73,591,499,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,731,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
98,11361,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,5828,999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
35,1079,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
90,6982,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
56,2800,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
77,1964,999,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
77,197,999,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
98,733,999,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
99,314,999,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
95,10379,2999,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,990,1999,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
98,4651,999,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0
67,883,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
50,3275,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
77,822,499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,160,499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,24,499,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45,1220,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0
59,1584,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
77,413,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
95,3748,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
23,882,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
35,110,999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,844,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
87,3245,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
52,6777,5999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
77,2013,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,308,799,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
16,227,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
43,612,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
95,542,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
95,453,799,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
95,1417,1499,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0
39,1402,2999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
56,1058,499,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
93,383,499,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
77,190,499,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
70,731,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0
65,383,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
52,6042,1999,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
23,573,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
90,4532,1999,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
62,1938,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
80,1419,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
80,8712,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
39,2001,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
93,319,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
22,1701,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
84,439,1499,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
93,2285,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
93,3494,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
95,950,1999,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
77,5870,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0
29,7375,2999,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
93,887,2999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
45,1723,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
70,906,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
5,335,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
59,1105,2499,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
87,519,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
84,1000,1499,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
23,1369,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
37,702,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
95,1563,999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
87,2312,1999,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
84,3311,1999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
77,2487,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
98,1417,1499,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0
11,54,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
19,2806,1999,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
90,181,999,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0
47,6518,2999,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
54,1721,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
87,615,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
