@relation R_data_frame

@attribute score_rank numeric
@attribute price numeric
@attribute Strategy numeric
@attribute Multiplayer numeric
@attribute Action numeric
@attribute COOP numeric
@attribute Early_Access numeric
@attribute Open_World numeric
@attribute Adventure numeric
@attribute Indie numeric
@attribute Casual numeric
@attribute Horror numeric
@attribute Puzzle numeric
@attribute Platformer numeric
@attribute Two_Dimensional numeric
@attribute Pixel_Graphics numeric
@attribute Point_And_Click numeric
@attribute VR numeric
@attribute likely_to_succeed numeric

@data
73,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
90,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
84,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
80,1499,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
98,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
93,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,499,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
26,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
98,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
35,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
90,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
56,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
77,999,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
77,999,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
98,999,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
99,999,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
95,2999,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
99,1999,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1
98,999,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1
67,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
50,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
77,499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,499,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1
59,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
77,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
95,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
23,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
35,999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
87,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
52,5999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
77,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,799,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
16,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
43,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
95,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
95,799,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
95,1499,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1
39,2999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
56,499,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
93,499,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
77,499,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1
65,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
52,1999,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
23,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
90,1999,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
62,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
80,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
80,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
39,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
93,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
84,1499,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
93,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
93,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
95,1999,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
77,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1
29,2999,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
93,2999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
70,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
5,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
59,2499,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
87,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
84,1499,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
23,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
37,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
95,999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
87,1999,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
84,1999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
77,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
98,1499,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1
11,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
19,1999,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
90,999,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0
47,2999,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
54,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
87,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
95,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1
9,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
90,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
28,3499,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
70,3999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
70,3999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
70,2999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
95,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
98,1999,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
80,1999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
93,2999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,1999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
95,1499,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1
18,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0
45,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
59,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
95,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
62,3999,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
62,3999,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1
80,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
13,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
87,2999,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
65,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
84,1499,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
26,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
93,1999,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
56,1299,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
90,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
6,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
77,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
11,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
84,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
52,999,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
62,5999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
62,5999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
95,499,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
93,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
77,1999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
98,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
73,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
41,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
77,3999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
22,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
84,2999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
95,1999,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1
56,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
80,1499,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1
77,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
73,1999,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
67,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
54,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
70,1499,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
62,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
98,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
37,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
84,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
98,3999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
73,1499,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1
21,1999,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
95,1999,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0
93,1499,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0
73,999,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1
41,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
70,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
98,999,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
84,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
56,1999,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
73,999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
