@relation R_data_frame

@attribute score_rank numeric
@attribute price numeric
@attribute Strategy numeric
@attribute Multiplayer numeric
@attribute Action numeric
@attribute COOP numeric
@attribute Early_Access numeric
@attribute Open_World numeric
@attribute Adventure numeric
@attribute Indie numeric
@attribute Casual numeric
@attribute Horror numeric
@attribute Puzzle numeric
@attribute Platformer numeric
@attribute Two_Dimensional numeric
@attribute Pixel_Graphics numeric
@attribute Point_And_Click numeric
@attribute VR numeric
@attribute likely_to_succeed {No,Yes}

@data
73,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes
90,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes
84,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Yes
80,1499,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes
98,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,Yes
93,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
80,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes
56,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No
73,499,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes
26,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Yes
98,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
93,999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,Yes
35,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,Yes
90,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Yes
56,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Yes
77,999,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,Yes
77,999,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,No
98,999,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,Yes
