"","score_rank","average_forever","price","Strategy","Multiplayer","Action","COOP","Early_Access","Open_World","Adventure","Indie","Casual","Horror","Puzzle","Platformer","Two_Dimensional","Pixel_Graphics","Point_And_Click","VR"
"1",73,12241,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2",90,4487,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3",84,1140,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"4",80,17372,1499,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",98,2388,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"6",93,8342,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",80,4202,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"8",56,54,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"9",73,591,499,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",26,731,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"11",98,11361,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",93,5828,999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"13",35,1079,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"14",90,6982,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"15",56,2800,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"16",77,1964,999,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"17",77,197,999,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
"18",98,733,999,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
"19",99,314,999,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
"20",95,10379,2999,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"21",99,990,1999,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
"22",98,4651,999,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0
"23",67,883,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"24",50,3275,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"25",77,822,499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",59,160,499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",52,24,499,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"28",45,1220,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0
"29",59,1584,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"30",77,413,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
"31",95,3748,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"32",23,882,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
