"","score_rank","price","Strategy","Multiplayer","Action","COOP","Early_Access","Open_World","Adventure","Indie","Casual","Horror","Puzzle","Platformer","Two_Dimensional","Pixel_Graphics","Point_And_Click","VR","likely_to_succeed"
"1",73,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"2",90,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"3",84,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Yes"
"4",80,1499,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"5",98,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,"Yes"
"6",93,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"7",80,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"8",56,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"No"
"9",73,499,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"10",26,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,"Yes"
"11",98,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"12",93,999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,"Yes"
"13",35,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,"Yes"
"14",90,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"Yes"
"15",56,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"Yes"
"16",77,999,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,"Yes"
"17",77,999,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,"No"
"18",98,999,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,"Yes"
"19",99,999,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,"No"
"20",95,2999,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yes"
"21",99,1999,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,"Yes"
"22",98,999,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,"Yes"
