appid,name,developer,publisher,score_rank,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,Free to Play,MOBA,Strategy,Multiplayer,Team-Based,Action,e-sports,Online Co-Op,Competitive,PvP,RTS,Difficult,RPG,Tower Defense,Fantasy,Co-op,Character Customization,Replay Value,Action RPG,Simulation
570,Dota 2,Valve,Valve,73,81336626,234779,81336626,234779,7805346,81374,12241,1208,295,693,869726,0,21753,7488,7097,6441,4594,4376,3869,3447,3373,2442,2143,2002,1982,1914,1907,1772,1405,1403,1286,934
440,Team Fortress 2,Valve,Valve,90,33634145,162842,33634145,162842,1458759,35482,4487,585,246,253,70518,0,14974,,,8815,4124,6969,,3105,3363,,,,,,,3216,,,,
304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,84,24131483,139849,19250679,125778,838464,26923,1140,462,170,91,37215,0,12526,,,9205,,5358,,,,,,,,,,4899,,,,
730,Counter-Strike: Global Offensive,Valve,Valve,80,23586403,138368,22975622,136684,7724467,80960,17372,887,5174,422,690779,1499,,,4059,12883,9730,10221,6239,5250,9043,5947,,2909,,,,4110,,,,
550,Left 4 Dead 2,Valve,Valve,98,13825020,107403,12071745,100606,594242,22673,2388,254,578,74,15993,1999,,,,2572,1083,2420,,1743,,,,,,,,3044,,554,,
240,Counter-Strike: Source,Valve,Valve,93,13513966,106233,9986574,91769,289305,15826,8342,439,688,60,10899,1999,,,247,1259,794,1536,290,,587,476,,183,,,,,,,,129
230410,Warframe,Digital Extremes,Digital Extremes,80,13153751,104860,8177568,83249,504075,20884,4202,914,283,212,37421,0,6333,,,2878,,3707,,1608,,,,,923,,,3092,,,,
340,Half-Life 2: Lost Coast,Valve,Valve,56,13078309,104570,2551412,46857,9968,2938,54,422,25,24,38,0,19,,,17,,188,,,,,,,,,,,,,,
320,Half-Life 2: Deathmatch,Valve,Valve,73,12301241,101525,3159021,52096,15859,3706,591,422,38,32,390,499,5,,,162,,178,,,54,,,,,,,25,,,,
227940,Heroes & Generals,Reto-Moto,Reto-Moto,26,11672337,98982,8055457,82639,311960,16434,731,305,49,42,9808,0,3746,,684,1939,,1554,,,,,185,,,,,686,,,,472
10,Counter-Strike,Valve,Valve,98,11492002,98239,8068371,82703,347755,17350,11361,816,449,105,27305,999,,,260,1432,789,2379,452,,669,360,,,,66,,,,,,
4000,Garrys Mod,Facepunch Studios,Valve,93,11378954,97770,10588292,94415,1049835,30118,5828,497,1008,126,56665,999,,,,8220,,3616,,3838,,,,,,,,4930,,,,4368
301520,Robocraft,Freejam,Freejam,35,10067679,92131,7228095,78369,174217,12283,1079,311,138,65,6106,0,2779,,617,1672,,1225,,,,1008,,,335,,,,,,,598
72850,The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,90,9974114,91713,9521466,89664,581102,22421,6982,534,2806,125,31753,1999,,,,,,3042,,,,,,,7162,,5065,,1784,,1405,
236390,War Thunder,Gaijin Entertainment,Gaijin Entertainment,56,9379872,89012,5605993,69170,375168,18020,2800,516,291,123,17975,0,3038,,488,1602,653,1056,,,,,,,,,,496,,,,1659
80,Counter-Strike: Condition Zero,Valve,Valve,77,9261839,88464,3647237,55940,48029,6450,1964,342,83,32,1223,999,,,66,164,95,325,,24,110,,,,,,,,,,,
100,Counter-Strike: Condition Zero Deleted Scenes,Valve,Valve,77,9261839,88464,1659256,37832,9742,2905,197,364,33,12,103,999,,,66,164,95,325,,24,110,,,,,,,,,,,
220,Half-Life 2,Valve,Valve,98,8735562,85976,5013563,65465,68645,7711,733,237,305,60,1263,999,,,,326,,1554,,,,,,,,,,,,,,
400,Portal,Valve,Valve,99,8627271,85455,6072461,71944,55958,6962,314,127,177,44,625,999,,,166,,,582,,,,,,,,,,,,,,
8930,Sid Meiers Civilization V,"Firaxis Games, Aspyr (Mac, Linux)","2K Games, Aspyr (Mac, Linux)",95,8671222,85667,8184818,83285,561166,22034,10379,853,2450,332,46403,2999,,,3111,1749,,,,,,,,,,,,541,,542,,362
620,Portal 2,Valve,Valve,99,7935612,82035,6569965,74783,182373,12567,990,195,580,72,3195,1999,,,450,699,,1023,,1327,,,,,,,,2396,,,,
105600,Terraria,Re-Logic,Re-Logic,98,7293568,78716,6944907,76848,521972,21251,4651,524,1404,108,26970,999,,,,4108,,2470,,1831,,,,,2040,,,2795,,1249,,
444090,Paladins,Hi-Rez Studios,Hi-Rez Studios,67,7048440,77407,6034173,71721,1071584,30427,883,386,245,115,45672,0,1271,516,299,794,500,625,,392,,442,,,,,273,302,,,,
